	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[1]	1.771	0.5013	0.007906	0.8633	1.753	2.846	20000	20002
	RR[2]	2.068	0.2805	0.004892	1.577	2.045	2.679	20000	20002
	RR[3]	1.599	0.4898	0.009625	0.657	1.614	2.576	20000	20002
	RR[4]	2.027	0.7251	0.008845	1.023	1.902	3.861	20000	20002
	RR[5]	1.709	0.5105	0.008532	0.7667	1.702	2.779	20000	20002
	RR[6]	1.721	0.4492	0.008011	0.8873	1.718	2.663	20000	20002
	RR[7]	2.062	0.6897	0.008479	1.114	1.938	3.8	20000	20002
	RR[8]	1.836	0.4861	0.006847	0.988	1.801	2.927	20000	20002
	RR[9]	1.621	0.604	0.009358	0.5454	1.614	2.886	20000	20002
	RR[10]	2.054	0.6919	0.007922	1.071	1.932	3.804	20000	20002
	RR[11]	1.627	0.5009	0.009343	0.6696	1.638	2.646	20000	20002
	RR[12]	1.555	0.5288	0.01017	0.5715	1.562	2.609	20000	20002
	RR[13]	1.683	0.4652	0.008554	0.8122	1.685	2.63	20000	20002
	RR[14]	1.662	0.4983	0.009136	0.7356	1.665	2.682	20000	20002
	RR[15]	1.763	0.5739	0.007905	0.8034	1.734	3.002	20000	20002
	RR[16]	1.585	0.4613	0.009665	0.6944	1.597	2.503	20000	20002
	RR[17]	1.761	0.5598	0.008565	0.7905	1.735	2.967	20000	20002
	RR[18]	1.836	0.5607	0.007867	0.9264	1.789	3.14	20000	20002
	RR[19]	1.769	0.5199	0.007721	0.8613	1.745	2.902	20000	20002
	RR[20]	1.767	0.5582	0.008713	0.7905	1.742	2.999	20000	20002
	RR[21]	1.666	0.5002	0.009926	0.7238	1.67	2.69	20000	20002
	RR[22]	1.742	0.4573	0.008059	0.8961	1.733	2.719	20000	20002
	RR[23]	2.232	0.8602	0.01118	1.157	2.042	4.568	20000	20002
	RR[24]	1.671	0.5224	0.009139	0.6943	1.677	2.748	20000	20002
	RR[25]	1.859	0.5416	0.007335	0.9578	1.816	3.116	20000	20002
	RR[26]	1.691	0.517	0.008878	0.7436	1.688	2.755	20000	20002
	RR[27]	1.652	0.5324	0.0101	0.6584	1.651	2.759	20000	20002
	RR[28]	1.736	0.5243	0.009077	0.8047	1.721	2.843	20000	20002
	RR[29]	1.786	0.5997	0.008522	0.7681	1.749	3.133	20000	20002
	RR[30]	1.755	0.566	0.009543	0.7848	1.735	2.989	20000	20002
	RR[31]	1.958	0.7123	0.008896	0.9511	1.855	3.66	20000	20002
	RR[32]	1.515	0.5027	0.01042	0.5687	1.525	2.503	20000	20002
	RR[33]	1.612	0.5427	0.01002	0.6191	1.618	2.719	20000	20002
	RR[34]	1.774	0.5569	0.007987	0.8249	1.744	3.027	20000	20002
	RR[35]	1.722	0.5576	0.01049	0.7495	1.706	2.915	20000	20002
	RR[36]	1.647	0.4962	0.009677	0.7242	1.649	2.673	20000	20002
	RR[37]	1.628	0.3947	0.008033	0.9061	1.62	2.453	20000	20002
	RR[38]	1.692	0.5309	0.009977	0.7319	1.683	2.812	20000	20002
	RR[39]	1.691	0.5429	0.009101	0.7287	1.676	2.833	20000	20002
	RR[40]	1.76	0.5778	0.008956	0.7657	1.727	3.04	20000	20002
	RR[41]	1.698	0.6272	0.009428	0.6356	1.672	3.051	20000	20002
	RR[42]	1.617	0.4974	0.009163	0.69	1.619	2.634	20000	20002
	RR[43]	1.924	0.6322	0.007885	0.9679	1.843	3.443	20000	20002
	RR[44]	1.954	0.8171	0.01225	0.8571	1.834	3.956	20000	20002
	RR[45]	1.756	0.6955	0.01087	0.6567	1.711	3.324	20000	20002
	RR[46]	1.652	0.6523	0.01177	0.5617	1.628	3.037	20000	20002
	RR[47]	1.683	0.577	0.0111	0.6679	1.672	2.907	20000	20002
	RR[48]	1.755	0.7363	0.01234	0.6357	1.696	3.39	20000	20002
	RR[49]	1.756	0.5985	0.0109	0.7415	1.724	3.087	20000	20002
	RR[50]	1.695	0.5807	0.01047	0.6806	1.682	2.923	20000	20002
	RR[51]	2.07	0.8067	0.01086	1.014	1.923	4.136	20000	20002
	RR[52]	1.7	0.5855	0.01067	0.6873	1.681	2.963	20000	20002
	RR[53]	1.786	0.6611	0.0111	0.7266	1.732	3.297	20000	20002
	RR[54]	1.676	0.5601	0.01008	0.668	1.669	2.862	20000	20002
	RR[55]	1.843	0.7394	0.01112	0.7691	1.766	3.51	20000	20002
	RR[56]	1.699	0.5925	0.01146	0.6742	1.681	2.959	20000	20002
	RR[57]	1.705	0.5833	0.01117	0.6781	1.692	2.947	20000	20002
	RR[58]	1.805	0.691	0.01041	0.7347	1.745	3.364	20000	20002
	RR[59]	1.814	0.6661	0.01001	0.7742	1.761	3.324	20000	20002
	RR[60]	1.778	0.641	0.0116	0.7298	1.736	3.21	20000	20002
	RR[61]	1.725	0.6214	0.01107	0.6708	1.699	3.063	20000	20002
	RR[62]	1.821	0.6815	0.01121	0.7599	1.761	3.414	20000	20002
	RR[63]	1.833	0.7357	0.01139	0.737	1.761	3.513	20000	20002
	RR[64]	1.954	0.8133	0.01159	0.8915	1.839	3.875	20000	20002
	RR[65]	1.707	0.5699	0.01021	0.6831	1.697	2.927	20000	20002
	RR[66]	1.647	0.5672	0.01181	0.6386	1.642	2.833	20000	20002
	RR[67]	1.915	0.6934	0.009418	0.8949	1.831	3.58	20000	20002
	RR[68]	1.813	0.6601	0.01004	0.7677	1.759	3.335	20000	20002
	RR[69]	1.75	0.6121	0.01077	0.7308	1.719	3.124	20000	20002
	RR[70]	1.683	0.6421	0.01155	0.6169	1.661	3.063	20000	20002
	alpha	0.2546	0.1132	0.002667	0.004625	0.2664	0.4566	20000	20002
	alpha2	-0.2882	0.08656	0.001819	-0.4541	-0.2906	-0.11	20000	20002
	sigma2.u	0.06591	0.1452	0.003427	1.09E-4	0.009219	0.4876	20000	20002
	sigma2.v	0.0517	0.07481	0.001711	1.208E-4	0.02073	0.2635	20000	20002
	tau.u	1115.0	3002.0	65.74	2.051	108.5	9172.0	20000	20002
	tau.v	843.3	2684.0	70.25	3.794	48.25	8276.0	20000	20002

Thinning = 15

	Dbar	Dhat	DIC	pD	
O	212.1	208.1	216.1	4.016
total	212.1	208.1	216.1	4.016

Overall mean is now significantly above 1 (RR), but the effect of agglo is significantly below 1
