	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[1]	1.068	0.397	0.005607	0.4581	1.013	2.02	20000	20002
	RR[2]	1.571	0.1596	0.001489	1.273	1.567	1.905	20000	20002
	RR[3]	0.7841	0.3012	0.003547	0.2934	0.7531	1.463	20000	20002
	RR[4]	1.165	0.4478	0.002981	0.526	1.084	2.265	20000	20002
	RR[5]	0.9793	0.4083	0.005119	0.3732	0.9197	1.944	20000	20002
	RR[6]	1.047	0.3295	0.003977	0.5131	1.006	1.804	20000	20002
	RR[7]	1.26	0.4728	0.005928	0.6299	1.161	2.459	20000	20002
	RR[8]	1.201	0.4106	0.003688	0.582	1.136	2.19	20000	20002
	RR[9]	0.7418	0.4074	0.00327	0.1717	0.6711	1.74	20000	20002
	RR[10]	1.59	0.7301	0.01016	0.6593	1.429	3.43	20000	20002
	RR[11]	0.8231	0.3431	0.003778	0.2916	0.7809	1.613	20000	20002
	RR[12]	0.6787	0.305	0.002383	0.2115	0.6371	1.397	20000	20002
	RR[13]	0.9736	0.3354	0.004396	0.4378	0.9346	1.748	20000	20002
	RR[14]	0.8368	0.3078	0.003531	0.3372	0.8024	1.535	20000	20002
	RR[15]	0.924	0.3953	0.003008	0.3607	0.8596	1.909	20000	20002
	RR[16]	0.8547	0.303	0.004117	0.3588	0.8248	1.548	20000	20002
	RR[17]	0.9214	0.3641	0.003642	0.3681	0.8672	1.791	20000	20002
	RR[18]	0.9898	0.363	0.002975	0.4658	0.9267	1.884	20000	20002
	RR[19]	0.9562	0.3375	0.003062	0.4265	0.9155	1.753	20000	20002
	RR[20]	1.014	0.4512	0.005295	0.3821	0.9331	2.123	20000	20002
	RR[21]	0.8212	0.2937	0.003677	0.3405	0.7916	1.483	20000	20002
	RR[22]	1.064	0.3406	0.004005	0.5212	1.024	1.85	20000	20002
	RR[23]	1.733	0.7662	0.01335	0.705	1.577	3.634	20000	20002
	RR[24]	0.8679	0.3693	0.005823	0.3	0.8176	1.734	20000	20002
	RR[25]	1.16	0.4386	0.003325	0.5261	1.085	2.232	20000	20002
	RR[26]	0.8471	0.3296	0.002892	0.3396	0.8006	1.619	20000	20002
	RR[27]	0.7233	0.2839	0.002315	0.2775	0.6893	1.374	20000	20002
	RR[28]	0.8723	0.322	0.002382	0.3805	0.8273	1.646	20000	20002
	RR[29]	1.035	0.4806	0.006495	0.3625	0.946	2.232	20000	20002
	RR[30]	0.7942	0.2943	0.002363	0.3362	0.7543	1.505	20000	20002
	RR[31]	1.031	0.4445	0.004492	0.4327	0.9462	2.134	20000	20002
	RR[32]	0.67	0.2898	0.002449	0.2275	0.632	1.349	20000	20002
	RR[33]	0.6803	0.2875	0.002711	0.2279	0.6453	1.338	20000	20002
