"NIS" "lat" "long" "NAME" "OBS" "EXP"
"1" 11001 4.38 51.13 "Aartselaar" 2 1.639
"2" 11002 4.36 51.26 "Antwerpen" 112 67.885
"3" 11004 4.52 51.16 "Boechout" 0 1.429
"4" 11005 4.37 51.09 "Boom" 4 2.202
"5" 11007 4.49 51.19 "Borsbeek" 1 1.183
"6" 11008 4.5 51.31 "Brasscaat" 5 4.398
"7" 11009 4.63 51.33 "Brecht" 6 2.326
"8" 11013 4.43 51.16 "Edegem" 5 2.941
"9" 11016 4.46 51.45 "Essen" 1 1.716
"10" 11018 4.34 51.15 "Hemiksem" 4 1.234
"11" 11021 4.48 51.15 "Hove" 0 0.992
"12" 11022 4.46 51.4 "Kalmthout" 0 1.975
"13" 11023 4.45 51.33 "Kapellen" 3 3.317
"14" 11024 4.44 51.12 "Kontich" 1 2.199
"15" 11025 4.5 51.13 "Lint" 1 0.719
"16" 11029 4.46 51.18 "Mortsel" 2 3.484
"17" 11030 4.33 51.11 "Niel" 1 1.164
"18" 11035 4.59 51.19 "Ranst" 3 1.855
"19" 11037 4.41 51.1 "Rumst" 2 1.787
"20" 11038 4.34 51.12 "Schelle" 1 0.905
"21" 11039 4.58 51.26 "Schilde" 1 2.376
"22" 11040 4.5 51.27 "Schoten" 5 4.182
"23" 11044 4.37 51.33 "Stabroek" 5 1.68
"24" 11050 4.52 51.23 "Wijnegem" 0 1.261
"25" 11052 4.52 51.21 "Wommelgem" 3 1.388
"26" 11053 4.61 51.39 "Wuustwezel" 1 1.598
"27" 11054 4.68 51.21 "Zandhoven" 0 1.239
"28" 11055 4.68 51.26 "Zoersel" 2 2.249
"29" 11056 4.32 51.22 "Zwijndrecht" 2 2.279
"30" 11057 4.7 51.29 "Malle" 1 1.432
"31" 12002 4.65 51.11 "Berlaar" 3 1.306
"32" 12005 4.57 51.02 "Bonheiden" 0 1.889
"33" 12007 4.25 51.09 "Bornem" 0 2.379
"34" 12009 4.52 51.1 "Duffel" 2 2.134
"35" 12014 4.74 51.06 "Heist-op-den-Berg" 2 4.571
"36" 12021 4.57 51.12 "Lier" 2 4.437
"37" 12025 4.46 51.04 "Mechelen" 11 10.343
"38" 12026 4.66 51.15 "Nijlen" 1 2.368
"39" 12029 4.62 51.05 "Putte" 1 1.91
"40" 12030 4.3 51.06 "Puurs" 1 1.909
"41" 12034 4.23 51.06 "Sint-Amands" 0 0.968
"42" 12035 4.53 51.06 "Sint-Katelijne-Waver" 1 2.404
"43" 12040 4.37 51.05 "Willebroek" 4 3.025
"44" 13001 5.08 51.34 "Arendonk" 2 1.281
"45" 13002 4.89 51.41 "Baarle-Hertog" 0 0.252
"46" 13003 5.17 51.16 "Balen" 0 2.158
"47" 13004 4.83 51.31 "Beerse" 0 1.451
"48" 13006 5.12 51.24 "Dessel" 0 0.887
"49" 13008 4.98 51.17 "Geel" 2 3.905
"50" 13010 4.74 51.18 "Grobbendonk" 0 1.108
"51" 13011 4.83 51.16 "Herentals" 5 2.969
"52" 13012 4.76 51.14 "Herenthout" 0 0.904
"53" 13013 4.88 51.05 "Herselt" 1 1.553
"54" 13014 4.76 51.44 "Hoogstraten" 0 1.667
"55" 13016 4.82 51.06 "Hulshout" 1 0.891
"56" 13017 4.95 51.24 "Kasterlee" 0 1.611
"57" 13019 4.83 51.25 "Lille" 0 1.383
"58" 13021 5.07 51.13 "Meerhout" 1 1.063
"59" 13023 4.87 51.38 "Merksplas" 1 0.666
"60" 13025 5.19 51.24 "Mol" 2 3.621
"61" 13029 4.88 51.17 "Olen" 0 1.062
"62" 13031 5.01 51.32 "Oud-Turnhout" 1 1.265
"63" 13035 5.02 51.42 "Ravels" 1 1.289
"64" 13036 5.09 51.26 "Retie" 2 0.925
"65" 13037 4.77 51.35 "Rijkevorsel" 0 1.008
"66" 13040 4.94 51.33 "Turnhout" 1 4.797
"67" 13044 4.78 51.22 "Vorselaar" 2 0.784
"68" 13046 4.87 51.31 "Vosselaar" 1 0.962
"69" 13049 4.88 51.11 "Westerlo" 1 2.271
"70" 13053 5.01 51.08 "Laakdal" 0 1.59
