list(N=70):

O[]	E[]	agglo[]
2	1.639	1
112	67.885	1
0	1.429	1
4	2.202	3
1	1.183	1
5	4.398	1
6	2.326	2
5	2.941	1
1	1.716	2
4	1.234	1
0	0.992	1
0	1.975	2
3	3.317	1
1	2.199	2
1	0.719	2
2	3.484	1
1	1.164	2
3	1.855	2
2	1.787	2
1	0.905	1
1	2.376	2
5	4.182	1
5	1.68	2
0	1.261	2
3	1.388	1
1	1.598	2
0	1.239	2
2	2.249	2
2	2.279	2
1	1.432	3
3	1.306	3
0	1.889	1
0	2.379	3
2	2.134	3
2	4.571	4
2	4.437	3
11	10.343	1
1	2.368	3
1	1.91	3
1	1.909	4
0	0.968	4
1	2.404	2
4	3.025	3
2	1.281	4
0	0.252	4
0	2.158	4
0	1.451	4
0	0.887	4
2	3.905	4
0	1.108	3
5	2.969	4
0	0.904	3
1	1.553	4
0	1.667	4
1	0.891	4
0	1.611	4
0	1.383	4
1	1.063	4
1	0.666	4
2	3.621	4
0	1.062	4
1	1.265	4
1	1.289	4
2	0.925	4
0	1.008	4
1	4.797	4
2	0.784	3
1	0.962	4
1	2.271	4
0	1.59	4
END;
