list(N=70):

O[]	E[]
2	1.639
112	67.885
0	1.429
4	2.202
1	1.183
5	4.398
6	2.326
5	2.941
1	1.716
4	1.234
0	0.992
0	1.975
3	3.317
1	2.199
1	0.719
2	3.484
1	1.164
3	1.855
2	1.787
1	0.905
1	2.376
5	4.182
5	1.68
0	1.261
3	1.388
1	1.598
0	1.239
2	2.249
2	2.279
1	1.432
3	1.306
0	1.889
0	2.379
2	2.134
2	4.571
2	4.437
11	10.343
1	2.368
1	1.91
1	1.909
0	0.968
1	2.404
4	3.025
2	1.281
0	0.252
0	2.158
0	1.451
0	0.887
2	3.905
0	1.108
5	2.969
0	0.904
1	1.553
0	1.667
1	0.891
0	1.611
0	1.383
1	1.063
1	0.666
2	3.621
0	1.062
1	1.265
1	1.289
2	0.925
0	1.008
1	4.797
2	0.784
1	0.962
1	2.271
0	1.59
END;
