	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	C[1]	0.925	0.03542	0.001247	0.8404	0.9322	0.9719	10001	20000
	C[2]	0.998	0.001056	3.625E-5	0.9954	0.9982	0.9993	10001	20000
	C[3]	0.9151	0.03949	0.001394	0.8211	0.923	0.9679	10001	20000
	C[4]	0.9428	0.02775	9.717E-4	0.8761	0.9487	0.9789	10001	20000
	C[5]	0.8996	0.04562	0.001618	0.7917	0.9085	0.9615	10001	20000
	C[6]	0.9703	0.01504	5.218E-4	0.9339	0.9736	0.9893	10001	20000
	C[7]	0.9457	0.02649	9.266E-4	0.8819	0.9513	0.98	10001	20000
	C[8]	0.9564	0.02161	7.532E-4	0.9043	0.9611	0.9841	10001	20000
	C[9]	0.9281	0.03413	0.001201	0.8464	0.9351	0.9731	10001	20000
	C[10]	0.9033	0.0442	0.001566	0.7985	0.9119	0.963	10001	20000
	C[11]	0.883	0.05185	0.001847	0.7611	0.8928	0.9544	10001	20000
	C[12]	0.9368	0.03041	0.001067	0.8638	0.9431	0.9766	10001	20000
	C[13]	0.9611	0.01942	6.759E-4	0.9142	0.9653	0.9859	10001	20000
	C[14]	0.9428	0.02778	9.729E-4	0.876	0.9486	0.9789	10001	20000
	C[15]	0.8467	0.06435	0.002313	0.6978	0.8578	0.9382	10001	20000
	C[16]	0.9629	0.01858	6.464E-4	0.918	0.9669	0.9866	10001	20000
	C[17]	0.8982	0.04617	0.001638	0.789	0.9071	0.9609	10001	20000
	C[18]	0.933	0.03203	0.001125	0.8563	0.9396	0.9751	10001	20000
	C[19]	0.9307	0.03302	0.001161	0.8516	0.9375	0.9742	10001	20000
	C[20]	0.8735	0.05529	0.001974	0.744	0.8836	0.9503	10001	20000
	C[21]	0.9467	0.02601	9.096E-4	0.8841	0.9522	0.9805	10001	20000
	C[22]	0.9688	0.01575	5.467E-4	0.9307	0.9723	0.9888	10001	20000
	C[23]	0.9267	0.03472	0.001222	0.8437	0.9338	0.9726	10001	20000
	C[24]	0.9051	0.04348	0.00154	0.802	0.9137	0.9638	10001	20000
	C[25]	0.9129	0.0404	0.001427	0.8168	0.9209	0.967	10001	20000
	C[26]	0.9233	0.03615	0.001273	0.8369	0.9306	0.9712	10001	20000
	C[27]	0.9036	0.04406	0.001561	0.7992	0.9123	0.9632	10001	20000
	C[28]	0.9439	0.02726	9.541E-4	0.8784	0.9497	0.9794	10001	20000
	C[29]	0.9446	0.02695	9.432E-4	0.8798	0.9503	0.9796	10001	20000
	C[30]	0.9153	0.03943	0.001392	0.8214	0.9232	0.968	10001	20000
	C[31]	0.908	0.04234	0.001498	0.8075	0.9164	0.965	10001	20000
	C[32]	0.9341	0.03155	0.001108	0.8585	0.9407	0.9755	10001	20000
	C[33]	0.9468	0.02598	9.086E-4	0.8843	0.9523	0.9805	10001	20000
	C[34]	0.9411	0.0285	9.983E-4	0.8727	0.9471	0.9783	10001	20000
	C[35]	0.9714	0.01451	5.034E-4	0.9362	0.9746	0.9897	10001	20000
	C[36]	0.9706	0.01492	5.175E-4	0.9344	0.9738	0.9894	10001	20000
	C[37]	0.9871	0.006713	2.315E-4	0.9708	0.9886	0.9954	10001	20000
	C[38]	0.9466	0.02608	9.123E-4	0.8838	0.9521	0.9804	10001	20000
