	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	C[1]	0.831	0.05278	8.401E-4	0.7055	0.8386	0.9103	10001	20000
	C[2]	0.995	0.001986	3.092E-5	0.99	0.9954	0.9976	10001	20000
	C[3]	0.8113	0.05724	9.13E-4	0.6762	0.8192	0.8985	10001	20000
	C[4]	0.8679	0.04354	6.902E-4	0.763	0.8747	0.9317	10001	20000
	C[5]	0.7813	0.06341	0.001014	0.6336	0.7895	0.8799	10001	20000
	C[6]	0.9286	0.0257	4.043E-4	0.8654	0.9331	0.9646	10001	20000
	C[7]	0.8739	0.04191	6.639E-4	0.7727	0.8806	0.9351	10001	20000
	C[8]	0.8973	0.03532	5.58E-4	0.8113	0.9032	0.948	10001	20000
	C[9]	0.8372	0.0513	8.16E-4	0.715	0.8448	0.914	10001	20000
	C[10]	0.7883	0.06204	9.917E-4	0.6433	0.7965	0.8843	10001	20000
	C[11]	0.7506	0.06903	0.001107	0.5918	0.7588	0.86	10001	20000
	C[12]	0.8551	0.04686	7.44E-4	0.7427	0.8623	0.9244	10001	20000
	C[13]	0.9077	0.03222	5.082E-4	0.829	0.9132	0.9536	10001	20000
	C[14]	0.8677	0.04358	6.909E-4	0.7627	0.8746	0.9316	10001	20000
	C[15]	0.6875	0.0783	0.001262	0.5124	0.6951	0.8166	10001	20000
	C[16]	0.9117	0.031	4.889E-4	0.8359	0.917	0.9557	10001	20000
	C[17]	0.7786	0.06394	0.001023	0.6298	0.7868	0.8782	10001	20000
	C[18]	0.8473	0.04882	7.758E-4	0.7306	0.8547	0.9199	10001	20000
	C[19]	0.8425	0.05001	7.95E-4	0.7232	0.85	0.9171	10001	20000
	C[20]	0.7335	0.07183	0.001154	0.5695	0.7416	0.8486	10001	20000
	C[21]	0.8762	0.04129	6.539E-4	0.7764	0.8828	0.9364	10001	20000
	C[22]	0.9252	0.02678	4.215E-4	0.8594	0.9299	0.9628	10001	20000
	C[23]	0.8343	0.05198	8.271E-4	0.7106	0.842	0.9123	10001	20000
	C[24]	0.7918	0.06134	9.801E-4	0.6483	0.8	0.8865	10001	20000
	C[25]	0.8069	0.0582	9.286E-4	0.6698	0.8149	0.8958	10001	20000
	C[26]	0.8275	0.0536	8.534E-4	0.7002	0.8352	0.9082	10001	20000
	C[27]	0.789	0.06191	9.895E-4	0.6443	0.7971	0.8847	10001	20000
	C[28]	0.8703	0.04291	6.8E-4	0.7668	0.877	0.933	10001	20000
	C[29]	0.8717	0.04251	6.736E-4	0.7691	0.8785	0.9338	10001	20000
	C[30]	0.8116	0.05717	9.118E-4	0.6767	0.8195	0.8987	10001	20000
	C[31]	0.7974	0.06019	9.612E-4	0.6562	0.8055	0.89	10001	20000
	C[32]	0.8496	0.04825	7.665E-4	0.7341	0.8569	0.9213	10001	20000
	C[33]	0.8764	0.04125	6.533E-4	0.7767	0.883	0.9364	10001	20000
