	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[1]	0.9287	0.282	7.723E-4	0.4456	0.9049	1.566	100001	200000
	RR[2]	1.514	0.1539	0.001762	1.225	1.509	1.827	100001	200000
	RR[3]	0.7821	0.2659	0.001852	0.2914	0.774	1.339	100001	200000
	RR[4]	1.037	0.2989	0.001174	0.558	1.0	1.742	100001	200000
	RR[5]	0.8803	0.2799	9.964E-4	0.3901	0.8618	1.501	100001	200000
	RR[6]	0.955	0.2538	6.319E-4	0.5222	0.9322	1.525	100001	200000
	RR[7]	1.177	0.3405	0.002411	0.6682	1.121	2.002	100001	200000
	RR[8]	1.053	0.2925	0.001209	0.5835	1.017	1.747	100001	200000
	RR[9]	0.8435	0.2672	0.001279	0.3652	0.8291	1.419	100001	200000
	RR[10]	1.125	0.347	0.002056	0.6055	1.069	1.977	100001	200000
	RR[11]	0.8096	0.2751	0.00161	0.3093	0.7987	1.396	100001	200000
	RR[12]	0.7519	0.2586	0.002053	0.2701	0.7466	1.282	100001	200000
	RR[13]	0.89	0.254	8.574E-4	0.4456	0.873	1.45	100001	200000
	RR[14]	0.8139	0.2577	0.00147	0.346	0.8028	1.363	100001	200000
	RR[15]	0.9156	0.296	7.948E-4	0.411	0.8916	1.584	100001	200000
	RR[16]	0.8145	0.2444	0.001392	0.3723	0.804	1.335	100001	200000
	RR[17]	0.8821	0.2812	9.656E-4	0.3906	0.8637	1.503	100001	200000
	RR[18]	0.9883	0.2911	8.68E-4	0.5072	0.9571	1.665	100001	200000
	RR[19]	0.918	0.2774	7.297E-4	0.4425	0.8961	1.539	100001	200000
	RR[20]	0.9011	0.2888	8.597E-4	0.4034	0.879	1.549	100001	200000
	RR[21]	0.8041	0.2554	0.001533	0.3381	0.7948	1.342	100001	200000
	RR[22]	0.968	0.2581	6.657E-4	0.5284	0.9451	1.551	100001	200000
	RR[23]	1.16	0.3485	0.002329	0.6422	1.104	2.014	100001	200000
	RR[24]	0.7933	0.2698	0.001734	0.2984	0.7848	1.361	100001	200000
	RR[25]	1.028	0.3126	0.001179	0.5303	0.9889	1.768	100001	200000
	RR[26]	0.8525	0.2705	0.001189	0.3718	0.837	1.441	100001	200000
	RR[27]	0.794	0.27	0.001727	0.2975	0.7857	1.365	100001	200000
	RR[28]	0.8861	0.2665	9.198E-4	0.4169	0.8679	1.475	100001	200000
	RR[29]	0.8835	0.266	9.395E-4	0.4173	0.8655	1.47	100001	200000
	RR[30]	0.8634	0.2752	0.00109	0.378	0.8467	1.463	100001	200000
	RR[31]	1.037	0.3168	0.001235	0.5368	0.9958	1.792	100001	200000
	RR[32]	0.7563	0.2596	0.002062	0.274	0.75	1.29	100001	200000
	RR[33]	0.7302	0.2536	0.002214	0.2556	0.7249	1.244	100001	200000
	RR[34]	0.8944	0.2684	8.508E-4	0.4263	0.8759	1.492	100001	200000
	RR[35]	0.7609	0.2316	0.001812	0.3345	0.7532	1.24	100001	200000
	RR[36]	0.7669	0.2322	0.00176	0.3388	0.7597	1.248	100001	200000
	RR[37]	0.9677	0.212	5.413E-4	0.5968	0.9524	1.436	100001	200000
	RR[38]	0.8046	0.2559	0.001553	0.3392	0.7946	1.343	100001	200000
	RR[39]	0.832	0.2632	0.001343	0.358	0.8198	1.396	100001	200000
	RR[40]	0.8316	0.2635	0.00138	0.3569	0.8199	1.398	100001	200000
	RR[41]	0.8113	0.276	0.001567	0.3076	0.8006	1.398	100001	200000
	RR[42]	0.8035	0.2552	0.001543	0.3359	0.7935	1.342	100001	200000
	RR[43]	0.9763	0.2721	7.755E-4	0.5201	0.9496	1.601	100001	200000
	RR[44]	0.9539	0.293	7.639E-4	0.4639	0.9255	1.624	100001	200000
	RR[45]	0.8639	0.2935	0.001141	0.3449	0.8468	1.506	100001	200000
	RR[46]	0.7429	0.2564	0.00213	0.2644	0.7372	1.267	100001	200000
	RR[47]	0.7808	0.2657	0.001821	0.2886	0.7737	1.334	100001	200000
	RR[48]	0.8163	0.2767	0.001565	0.3111	0.8051	1.403	100001	200000
	RR[49]	0.7922	0.2396	0.00157	0.356	0.7836	1.296	100001	200000
	RR[50]	0.8023	0.2712	0.001663	0.3052	0.7925	1.375	100001	200000
	RR[51]	1.051	0.291	0.001244	0.5819	1.015	1.734	100001	200000
	RR[52]	0.8154	0.2774	0.001572	0.3114	0.8033	1.406	100001	200000
	RR[53]	0.854	0.2715	0.001208	0.3733	0.8393	1.446	100001	200000
	RR[54]	0.7684	0.2635	0.001962	0.2811	0.7611	1.316	100001	200000
	RR[55]	0.9027	0.2893	8.726E-4	0.4039	0.8808	1.552	100001	200000
	RR[56]	0.772	0.2639	0.001934	0.2828	0.7647	1.32	100001	200000
	RR[57]	0.7844	0.2659	0.001806	0.2915	0.7766	1.342	100001	200000
	RR[58]	0.8881	0.2834	9.365E-4	0.3948	0.8685	1.517	100001	200000
	RR[59]	0.9202	0.2971	8.372E-4	0.4155	0.8951	1.591	100001	200000
	RR[60]	0.8071	0.2431	0.001454	0.3652	0.7966	1.321	100001	200000
	RR[61]	0.805	0.2737	0.001666	0.3053	0.7949	1.384	100001	200000
	RR[62]	0.8741	0.2782	0.001038	0.384	0.8563	1.483	100001	200000
	RR[63]	0.8728	0.2781	0.001038	0.3844	0.8548	1.486	100001	200000
	RR[64]	0.9856	0.308	8.872E-4	0.4848	0.9515	1.705	100001	200000
	RR[65]	0.8076	0.2746	0.00161	0.3069	0.797	1.388	100001	200000
	RR[66]	0.6903	0.2299	0.002372	0.2634	0.6849	1.154	100001	200000
	RR[67]	0.9971	0.3152	9.961E-4	0.4878	0.9597	1.738	100001	200000
	RR[68]	0.8964	0.2874	9.025E-4	0.3993	0.8746	1.54	100001	200000
	RR[69]	0.8105	0.2575	0.001484	0.3419	0.8002	1.358	100001	200000
	RR[70]	0.7736	0.264	0.001859	0.2849	0.7657	1.325	100001	200000
	alpha	15.23	15.17	0.4573	3.204	10.91	54.0	100001	200000
	beta	16.84	15.39	0.4574	3.759	12.52	56.39	100001	200000
	mean	0.8832	0.08942	7.871E-4	0.7141	0.8809	1.064	100001	200000
	variance	0.08388	0.05815	9.496E-4	0.01666	0.06924	0.2349	100001	200000

Thinning = 10

	Dbar	Dhat	DIC	pD	
O	213.8	202.8	224.7	10.93
total	213.8	202.8	224.7	10.93
