	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[1]	1.743	0.4797	0.007971	0.838	1.743	2.731	20000	20002
	RR[2]	2.056	0.2666	0.004141	1.58	2.04	2.63	20000	20002
	RR[3]	1.622	0.4805	0.01039	0.6617	1.65	2.503	20000	20002
	RR[4]	1.962	0.628	0.00629	1.039	1.881	3.486	20000	20002
	RR[5]	1.714	0.4902	0.008696	0.7789	1.721	2.685	20000	20002
	RR[6]	1.71	0.4309	0.008252	0.8777	1.716	2.551	20000	20002
	RR[7]	2.075	0.6617	0.006999	1.165	1.96	3.793	20000	20002
	RR[8]	1.839	0.4703	0.006613	1.005	1.815	2.886	20000	20002
	RR[9]	1.706	0.4901	0.008733	0.7583	1.717	2.677	20000	20002
	RR[10]	1.97	0.6067	0.006583	1.07	1.892	3.499	20000	20002
	RR[11]	1.659	0.4954	0.00967	0.6915	1.681	2.602	20000	20002
	RR[12]	1.619	0.4858	0.0106	0.6536	1.643	2.536	20000	20002
	RR[13]	1.675	0.4451	0.009176	0.8047	1.686	2.546	20000	20002
	RR[14]	1.675	0.484	0.009451	0.7521	1.69	2.603	20000	20002
	RR[15]	1.793	0.5403	0.007644	0.837	1.777	2.944	20000	20002
	RR[16]	1.607	0.4551	0.01052	0.7251	1.626	2.456	20000	20002
	RR[17]	1.748	0.4996	0.008048	0.8193	1.747	2.76	20000	20002
	RR[18]	1.849	0.5282	0.006711	0.9586	1.817	3.022	20000	20002
	RR[19]	1.778	0.5037	0.00755	0.8683	1.767	2.856	20000	20002
	RR[20]	1.74	0.4967	0.008078	0.8073	1.743	2.767	20000	20002
	RR[21]	1.663	0.4802	0.009613	0.7244	1.682	2.584	20000	20002
	RR[22]	1.728	0.4343	0.008117	0.8985	1.726	2.619	20000	20002
	RR[23]	2.066	0.676	0.006872	1.146	1.952	3.832	20000	20002
	RR[24]	1.661	0.4963	0.009785	0.6896	1.683	2.62	20000	20002
	RR[25]	1.852	0.5201	0.006571	0.9665	1.82	3.021	20000	20002
	RR[26]	1.712	0.4937	0.008716	0.7623	1.722	2.691	20000	20002
	RR[27]	1.662	0.4972	0.00956	0.6995	1.68	2.593	20000	20002
	RR[28]	1.741	0.4848	0.008017	0.8358	1.742	2.719	20000	20002
	RR[29]	1.738	0.482	0.007941	0.8276	1.741	2.726	20000	20002
	RR[30]	1.754	0.5173	0.007925	0.81	1.745	2.831	20000	20002
	RR[31]	1.959	0.6533	0.00684	1.024	1.878	3.53	20000	20002
	RR[32]	1.589	0.4778	0.01106	0.6442	1.618	2.466	20000	20002
	RR[33]	1.628	0.492	0.01039	0.6515	1.659	2.549	20000	20002
	RR[34]	1.789	0.5194	0.007607	0.8668	1.774	2.932	20000	20002
	RR[35]	1.716	0.4976	0.008908	0.769	1.72	2.724	20000	20002
	RR[36]	1.672	0.4821	0.009446	0.7467	1.684	2.607	20000	20002
	RR[37]	1.668	0.3859	0.008953	0.9422	1.667	2.433	20000	20002
	RR[38]	1.702	0.4985	0.008803	0.755	1.708	2.679	20000	20002
	RR[39]	1.721	0.5034	0.008795	0.7568	1.726	2.723	20000	20002
	RR[40]	1.752	0.5386	0.008412	0.8067	1.747	2.805	20000	20002
	RR[41]	1.717	0.525	0.008521	0.7544	1.722	2.749	20000	20002
	RR[42]	1.661	0.477	0.009779	0.7261	1.677	2.593	20000	20002
	RR[43]	1.899	0.5648	0.006628	0.9813	1.847	3.235	20000	20002
	RR[44]	1.889	0.6269	0.006921	0.9365	1.831	3.344	20000	20002
	RR[45]	1.748	0.5363	0.0086	0.7515	1.745	2.823	20000	20002
	RR[46]	1.664	0.5023	0.009867	0.6815	1.685	2.635	20000	20002
	RR[47]	1.69	0.5103	0.009241	0.7139	1.705	2.7	20000	20002
	RR[48]	1.717	0.52	0.008823	0.736	1.724	2.741	20000	20002
	RR[49]	1.741	0.5045	0.008477	0.8032	1.738	2.779	20000	20002
	RR[50]	1.691	0.5064	0.009332	0.7174	1.707	2.665	20000	20002
	RR[51]	2.065	0.7412	0.007582	1.099	1.939	3.95	20000	20002
	RR[52]	1.703	0.5043	0.009052	0.7457	1.71	2.689	20000	20002
	RR[53]	1.769	0.532	0.007764	0.8053	1.759	2.904	20000	20002
	RR[54]	1.682	0.5077	0.009439	0.6949	1.697	2.679	20000	20002
	RR[55]	1.808	0.5665	0.007503	0.85	1.783	3.023	20000	20002
	RR[56]	1.68	0.5092	0.009708	0.7109	1.695	2.664	20000	20002
	RR[57]	1.695	0.5162	0.009475	0.7177	1.703	2.719	20000	20002
	RR[58]	1.796	0.5499	0.0075	0.851	1.776	2.941	20000	20002
	RR[59]	1.82	0.5635	0.007182	0.8659	1.791	3.057	20000	20002
	RR[60]	1.755	0.5098	0.008025	0.8129	1.751	2.822	20000	20002
	RR[61]	1.707	0.5336	0.008778	0.7368	1.716	2.733	20000	20002
	RR[62]	1.788	0.5436	0.007655	0.8314	1.771	2.971	20000	20002
	RR[63]	1.788	0.5526	0.007777	0.8128	1.773	2.958	20000	20002
	RR[64]	1.909	0.6266	0.006593	0.9548	1.846	3.37	20000	20002
	RR[65]	1.707	0.5229	0.009006	0.7306	1.711	2.753	20000	20002
	RR[66]	1.641	0.4947	0.01012	0.6776	1.658	2.593	20000	20002
	RR[67]	1.899	0.6204	0.006678	0.9591	1.836	3.302	20000	20002
	RR[68]	1.801	0.5451	0.007488	0.85	1.783	2.986	20000	20002
	RR[69]	1.735	0.5143	0.008544	0.7869	1.733	2.786	20000	20002
	RR[70]	1.682	0.5092	0.009236	0.6966	1.697	2.651	20000	20002
	alpha	0.2589	0.1048	0.002427	0.03044	0.2688	0.4373	20000	20002
	alpha2	-0.2888	0.08009	0.001541	-0.4409	-0.291	-0.1255	20000	20002
	v	0.06052	0.07776	0.001701	1.439E-4	0.03195	0.2747	20000	20002
	v.inv	671.1	2420.0	65.64	3.641	31.31	6951.0	20000	20002

Thinning = 15

	Dbar	Dhat	DIC	pD	
O	212.9	204.2	221.5	8.635
total	212.9	204.2	221.5	8.635

Overall mean is now significantly above 1 (RR), but the effect of agglo is significantly below 1
