	mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	RR[1]	0.9238	0.3785	0.002841	0.38	0.8648	1.853	40000	20002
	RR[2]	1.581	0.1547	0.001934	1.29	1.575	1.898	40000	20002
	RR[3]	0.7063	0.2984	0.00384	0.2444	0.6712	1.394	40000	20002
	RR[4]	1.106	0.4183	0.004094	0.5082	1.032	2.144	40000	20002
	RR[5]	0.8518	0.3582	0.002731	0.3184	0.8016	1.692	40000	20002
	RR[6]	0.9531	0.3121	0.00237	0.4638	0.9151	1.684	40000	20002
	RR[7]	1.378	0.5374	0.007669	0.6499	1.268	2.74	40000	20002
	RR[8]	1.126	0.4037	0.003961	0.5446	1.055	2.129	40000	20002
	RR[9]	0.7933	0.3186	0.002945	0.3027	0.7528	1.549	40000	20002
	RR[10]	1.315	0.5832	0.008025	0.5674	1.184	2.806	40000	20002
	RR[11]	0.7451	0.3171	0.003408	0.257	0.7076	1.477	40000	20002
	RR[12]	0.6652	0.2733	0.004055	0.2262	0.6357	1.272	40000	20002
	RR[13]	0.8597	0.3055	0.002401	0.3735	0.8219	1.588	40000	20002
	RR[14]	0.7504	0.294	0.003307	0.2858	0.7164	1.43	40000	20002
	RR[15]	0.9166	0.3991	0.003055	0.3491	0.8519	1.88	40000	20002
	RR[16]	0.7495	0.2688	0.002928	0.3139	0.72	1.359	40000	20002
	RR[17]	0.8447	0.3549	0.003044	0.3175	0.7919	1.69	40000	20002
	RR[18]	1.022	0.3998	0.003335	0.4552	0.9562	1.996	40000	20002
	RR[19]	0.9025	0.3575	0.002586	0.3714	0.8477	1.772	40000	20002
	RR[20]	0.8761	0.3753	0.002859	0.332	0.8198	1.78	40000	20002
	RR[21]	0.7336	0.2873	0.003324	0.2795	0.7016	1.402	40000	20002
	RR[22]	0.972	0.3171	0.002248	0.471	0.9308	1.709	40000	20002
	RR[23]	1.381	0.5826	0.008609	0.6298	1.256	2.858	40000	20002
	RR[24]	0.7173	0.2997	0.003504	0.2452	0.6811	1.41	40000	20002
	RR[25]	1.111	0.4708	0.004421	0.4712	1.023	2.282	40000	20002
	RR[26]	0.7992	0.323	0.003058	0.3057	0.7563	1.568	40000	20002
	RR[27]	0.7209	0.3057	0.003778	0.2439	0.6823	1.419	40000	20002
	RR[28]	0.8558	0.3258	0.002419	0.3535	0.8112	1.625	40000	20002
	RR[29]	0.8456	0.3231	0.002513	0.3495	0.8024	1.6	40000	20002
	RR[30]	0.8186	0.3358	0.003015	0.3111	0.7714	1.621	40000	20002
	RR[31]	1.123	0.4796	0.00504	0.4755	1.03	2.314	40000	20002
	RR[32]	0.6738	0.2766	0.003924	0.2296	0.6443	1.298	40000	20002
	RR[33]	0.6386	0.2599	0.004149	0.2167	0.611	1.222	40000	20002
	RR[34]	0.8648	0.3328	0.002594	0.3622	0.8167	1.659	40000	20002
	RR[35]	0.6871	0.2473	0.003207	0.2829	0.6609	1.244	40000	20002
	RR[36]	0.6932	0.2483	0.003095	0.2848	0.67	1.239	40000	20002
	RR[37]	0.9661	0.2452	0.001902	0.5578	0.9418	1.515	40000	20002
	RR[38]	0.7382	0.2859	0.003245	0.2849	0.7062	1.395	40000	20002
	RR[39]	0.7729	0.3053	0.003123	0.2944	0.7359	1.485	40000	20002
	RR[40]	0.7736	0.3073	0.002866	0.2896	0.7377	1.488	40000	20002
	RR[41]	0.7453	0.3188	0.003453	0.2531	0.7067	1.484	40000	20002
	RR[42]	0.7323	0.2826	0.003141	0.2847	0.7013	1.39	40000	20002
	RR[43]	0.9959	0.3555	0.002962	0.4627	0.9412	1.852	40000	20002
	RR[44]	0.9737	0.4082	0.003136	0.3888	0.9054	1.989	40000	20002
	RR[45]	0.8229	0.3832	0.003226	0.2755	0.7627	1.772	40000	20002
	RR[46]	0.6584	0.2735	0.003917	0.2254	0.6279	1.282	40000	20002
	RR[47]	0.701	0.2969	0.00356	0.2389	0.6677	1.39	40000	20002
	RR[48]	0.7491	0.3237	0.003361	0.2534	0.7086	1.511	40000	20002
	RR[49]	0.7234	0.2601	0.002969	0.2992	0.6982	1.324	40000	20002
	RR[50]	0.7299	0.3098	0.003651	0.2508	0.6917	1.439	40000	20002
	RR[51]	1.117	0.3967	0.003756	0.5368	1.051	2.088	40000	20002
	RR[52]	0.7493	0.3257	0.003656	0.2476	0.7089	1.515	40000	20002
	RR[53]	0.8043	0.3269	0.00304	0.3014	0.7616	1.582	40000	20002
	RR[54]	0.6885	0.2839	0.003827	0.2342	0.6581	1.338	40000	20002
	RR[55]	0.8814	0.3733	0.002927	0.3288	0.823	1.787	40000	20002
	RR[56]	0.6906	0.2899	0.004001	0.2354	0.6569	1.345	40000	20002
	RR[57]	0.7104	0.2961	0.00398	0.2419	0.676	1.387	40000	20002
	RR[58]	0.8623	0.3652	0.002768	0.3201	0.8073	1.74	40000	20002
	RR[59]	0.9165	0.4057	0.002702	0.3467	0.8522	1.896	40000	20002
	RR[60]	0.7432	0.2691	0.00307	0.3081	0.7156	1.344	40000	20002
	RR[61]	0.7392	0.3203	0.003436	0.2485	0.6969	1.482	40000	20002
	RR[62]	0.8431	0.3512	0.002934	0.3197	0.7935	1.695	40000	20002
	RR[63]	0.8311	0.3432	0.002878	0.3126	0.7836	1.644	40000	20002
	RR[64]	1.037	0.4609	0.004272	0.4123	0.9521	2.163	40000	20002
	RR[65]	0.742	0.3203	0.00346	0.2498	0.7015	1.494	40000	20002
	RR[66]	0.6015	0.2247	0.003925	0.2301	0.5807	1.093	40000	20002
	RR[67]	1.06	0.473	0.004178	0.4334	0.9668	2.251	40000	20002
	RR[68]	0.8771	0.3719	0.003079	0.3318	0.8177	1.786	40000	20002
	RR[69]	0.746	0.2928	0.003172	0.284	0.7152	1.419	40000	20002
	RR[70]	0.6933	0.2899	0.003743	0.236	0.662	1.353	40000	20002
	alpha	-0.1258	0.06345	0.001468	-0.257	-0.1227	-0.0119	40000	20002
	v	0.2012	0.121	0.003783	0.04107	0.1771	0.5024	40000	20002
	v.inv	7.485	6.333	0.2177	1.99	5.646	24.35	40000	20002

Thinning = 1

	Dbar	Dhat	DIC	pD	
O	207.5	190.1	224.8	17.35
total	207.5	190.1	224.8	17.35

Overall mean is now significantly below 1 (RR)
