date,cva,ihd,resp,hives,ear,PM10,PM25,dow,temp,rh
01/01/2012,0,6,23,0,0,37.67,22.75,0,12.01,44.27
02/01/2012,0,8,36,0,1,37.67,22.75,1,12.01,44.27
03/01/2012,1,8,29,1,0,37.67,22.75,1,12.01,44.27
04/01/2012,0,7,31,0,0,37.67,22.75,1,12.01,44.27
05/01/2012,0,13,41,0,1,37.67,22.75,1,12.01,44.27
06/01/2012,0,7,26,1,0,37.67,22.75,1,12.46,37.54
07/01/2012,1,16,25,0,0,37.67,22.75,0,14.21,45.71
08/01/2012,0,12,31,0,1,37.67,22.75,0,14.13,41.71
09/01/2012,0,13,25,0,0,37.67,22.75,1,12.29,40.29
10/01/2012,0,16,26,0,0,37.92,23.16,1,14.13,42.42
11/01/2012,0,5,18,1,0,46.71,19.25,1,11.67,39.79
12/01/2012,0,9,23,0,0,35.13,25.33,1,9,39.79
13/01/2012,0,11,22,0,2,28.88,18.38,1,9.5,36.5
14/01/2012,2,7,16,0,0,49.29,26.38,0,11.21,39.25
15/01/2012,0,9,24,0,0,22.33,18.42,0,12.79,42.92
16/01/2012,0,15,27,0,0,40.63,28.46,1,12.58,41.67
17/01/2012,1,19,24,1,0,36.54,26.38,1,10.5,37.71
18/01/2012,0,13,29,0,0,26.96,21.29,1,11.58,54.63
19/01/2012,0,7,23,0,0,19.38,14.96,1,9.63,59.46
20/01/2012,0,7,17,0,0,21.79,16.04,1,8.88,56.46
21/01/2012,0,11,23,1,1,27.75,19.54,0,10.75,42.08
22/01/2012,1,7,27,0,0,20.04,16,0,10.63,39.67
23/01/2012,0,12,28,0,2,41.63,23.46,1,12.21,47.75
24/01/2012,1,11,27,1,0,39.13,24.96,1,12.92,44.96
25/01/2012,0,15,31,1,0,47.63,26.71,1,14.29,43.83
26/01/2012,0,11,23,5,0,71.04,37.88,1,14.83,44.04
27/01/2012,0,10,30,0,0,35.04,13.17,1,11.96,51.17
28/01/2012,0,11,22,1,0,31.21,18.92,0,11.58,45.75
29/01/2012,1,18,32,1,0,18.25,16.46,0,12.25,41.75
30/01/2012,0,13,27,0,0,57.5,36.08,1,12.25,48.54
31/01/2012,0,16,26,0,0,74.04,29.33,1,14,45.58
01/02/2012,0,11,24,0,0,34.29,20.25,1,10.46,39.71
02/02/2012,0,21,25,1,1,36.5,25.08,1,10.75,45.5
03/02/2012,0,9,20,0,0,38.54,24.63,1,12.04,51.75
04/02/2012,0,17,15,1,0,39.54,27.42,0,13.83,54.25
05/02/2012,1,9,19,0,0,31.71,21.38,0,14.04,52.63
06/02/2012,0,14,46,0,1,73.63,40.46,1,14.46,54.46
07/02/2012,0,10,28,1,2,155.38,79.58,1,15.17,49.13
08/02/2012,0,11,25,1,0,129.54,61.5,1,11.83,42.92
09/02/2012,1,10,28,0,0,91.42,40.13,1,12.17,44.75
10/02/2012,2,6,35,0,0,22.13,11.17,1,13.25,59.29
11/02/2012,0,5,20,1,0,23.75,13.58,0,12.58,58.08
12/02/2012,0,11,29,0,0,27.21,16.58,0,14.63,53.29
13/02/2012,1,12,26,1,0,44.67,28.75,1,15.96,51.29
14/02/2012,0,13,32,0,0,97.58,50.38,1,14.54,44.13
15/02/2012,0,13,24,0,0,121.83,52.08,1,14.92,45.67
16/02/2012,0,16,23,0,0,27.71,11.13,1,12.67,54
17/02/2012,0,13,10,0,1,25.83,17.83,1,11.21,49.54
18/02/2012,1,13,11,1,0,27.63,16.08,0,9.42,61.5
19/02/2012,1,11,16,0,0,24.75,16.29,0,8.21,38.96
20/02/2012,0,20,25,2,0,27.58,18.5,1,9.54,53.75
